movieId,production_company,director,budget
1,3,7879,30000000
2,559,4945,65000000
3,174,26502,25000000
4,25,2178,16000000
5,5842,56106,0
6,174,638,60000000
7,4,2226,58000000
8,2,18357,0
9,33,37710,35000000
10,60,10702,58000000
11,97,3026,62000000
12,97,14639,30000000
13,33,21879,31000000
14,915,1152,44000000
15,21,16938,98000000
16,33,1032,52000000
17,5,1614,16000000
18,14,138,4000000
19,174,4489,30000000
20,5,52629,68000000
21,21,5174,30250000
22,508,15148,20000000
23,104,7187,50000000
24,175,56349,9500000
25,60,6111,3600000
26,97,56710,0
27,12,15798,12000000
28,288,7017,0
29,104,13680,18000000
30,581,607,2300000
31,915,60295,23000000
32,33,280,29000000
34,33,58137,30000000
36,406,504,11000000
38,174,17167,0
39,4,57434,12000000
40,14,16730,0
41,60,33315,0
42,175,11448,10000000
43,14,52405,19000000
44,12,4014,18000000
45,5,5216,20000000
46,33,3047,10000000
47,12,7467,33000000
48,2,65531,55000000
49,2480,55439,0
50,361,9032,6000000
52,14,1243,15000000
53,104,128107,0
54,2,71338,0
55,14,140354,0
57,4,1038,0
58,371,28898,0
60,4,7908,45000000
61,4,19304,20000000
62,915,18356,31000000
63,14,45649,3800000
64,174,49361,0
65,21,57870,8500000
66,12,69721,15000000
68,82,35137,0
69,12,37932,3500000
70,14,2294,19000000
71,174,70850,50000000
72,35,5656,0
73,104,16862,0
74,12,10296,0
75,174,58712,15000000
76,808,25735,20000000
77,4606,1080309,0
78,14,2228,0
79,5,18069,44000000
80,38953,120229,0
81,14,5501,8000000
82,575,13496,900000
83,38196,27771,0
85,798,55038,0
86,915,578,38000000
87,25,29009,16000000
88,4,58448,0
89,4,12840,33000000
92,559,3224,47000000
93,4,5140,14000000
94,14,34849,0
95,25,11401,50000000
96,97,11181,0
97,104,2406,2600000
99,46,92561,0
100,97,23213,0
101,5,5655,7000000
102,9195,14692,0
103,21,21053,18000000
104,33,17494,12000000
105,56,190,24000000
106,4606,18969,0
107,2,65298,31000000
108,0,64077,0
110,4564,2461,72000000
111,5,1032,1300000
112,2521,44916,7500000
113,175,23393,35000000
116,0,82293,0
117,185,81020,0
118,559,68185,5000000
119,2377,12989,25000000
121,806,60295,0
122,4,68215,40000000
123,540,12453,160000
125,14,17883,7000000
126,14,16589,17000000
128,0,93632,0
129,8,122583,0
132,4,15175,50000000
135,25,12920,0
137,0,45382,0
140,1504,18250,60000000
141,60,5342,31000000
144,43,12833,0
145,5,865,19000000
146,174,56828,0
147,12,65390,2000000
148,8,10723,4000000
149,181,91343,0
150,23,6159,52000000
151,60,30365,28000000
152,236,39104,0
153,174,5572,100000000
154,386,793,0
155,97,19665,23000000
156,14,46391,2000000
157,278,17087,11000000
158,33,11887,50000000
159,33,5281,25000000
160,4,664,50000000
161,915,893,53000000
162,4532,17447,0
163,5,2294,7000000
164,559,21712,27000000
165,25,1090,90000000
166,729,19224,0
168,5,3415,55000000
169,104,56998,31000000
170,60,1978,20000000
171,12909,252806,0
172,559,59997,25000000
173,915,33279,90000000
174,559,58316,0
175,14,51917,1500000
176,13187,6400,500000
177,60,31211,0
178,806,38516,0
179,9195,42617,0
180,33,19303,6000000
181,25,42111,15000000
183,16561,58384,0
184,37897,54469,0
185,5,11472,22000000
186,25,10965,0
187,37890,56714,150000
188,888,28902,8000000
189,798,26487,0
190,181,16863,0
191,915,8965,50000000
193,60,10491,45000000
194,14,46391,7000000
195,174,5306,0
196,21,21370,35000000
198,25,14392,42000000
